1741498854.4582648, 0.1, 0.0, 0
1741498855.3256118, 1.1, 0.0, 1
1741498856.3288596, 2.1, 0.0, 1
1741498857.3338978, 3.1, 0.0, 1
1741498858.3375685, 4.1, 0.0, 2
1741498859.3428495, 5.1, 57.54, 2
1741498860.350823, 6.1, 78.64, 2
1741498861.3481293, 7.1, 78.64, 4
1741498862.356768, 8.1, 136.18, 4
1741498863.3548899, 9.1, 205.0, 4
1741498864.3601508, 10.1, 235.93, 7
1741498865.3629777, 11.1, 331.35, 7
1741498866.3627512, 12.1, 431.1, 7
1741498867.3661938, 13.1, 509.74, 9
1741498868.369101, 14.1, 626.26, 9
1741498869.371583, 15.1, 702.68, 9
1741498870.3724031, 16.1, 716.18, 9
1741498871.3709583, 17.1, 707.79, 9
1741498872.3745382, 18.1, 702.68, 9
1741498873.3751938, 19.1, 754.06, 10
1741498874.3751838, 20.1, 789.71, 10
1741498875.3794086, 21.1, 786.43, 10
1741498876.3789783, 22.1, 830.87, 11
1741498877.3817396, 23.1, 868.35, 11
1741498878.384273, 24.1, 868.35, 11
1741498879.3851485, 25.1, 899.68, 12
1741498880.3858826, 26.1, 947.0, 12
1741498881.3879576, 27.1, 943.72, 12
1741498882.3874218, 28.1, 971.77, 13
1741498883.3907495, 29.1, 986.32, 13
1741498884.3907049, 30.1, 971.37, 13
1741498885.3930717, 31.1, 943.72, 12
1741498886.3950572, 32.1, 958.27, 12
1741498887.3950574, 33.1, 948.83, 12
1741498888.3988042, 34.1, 941.88, 11
1741498889.3990545, 35.1, 850.13, 11
1741498890.401886, 36.1, 876.74, 11
1741498891.4023998, 37.1, 886.57, 12
1741498892.4037912, 38.1, 943.72, 12
1741498893.4048579, 39.1, 943.72, 12
1741498894.4062984, 40.1, 968.49, 13
1741498895.4072993, 41.1, 1005.98, 13
1741498896.4112155, 42.1, 953.55, 13
1741498897.411616, 43.1, 934.94, 12
1741498898.4129493, 44.1, 963.77, 12
1741498899.4171224, 45.1, 960.1, 12
1741498900.4163458, 46.1, 941.88, 11
1741498901.4181077, 47.1, 888.01, 11
1741498902.4192908, 48.2, 786.43, 11
1741498903.420944, 49.2, 865.08, 12
1741498904.4252973, 50.2, 937.16, 12
1741498905.4277763, 51.2, 955.38, 12
1741498906.4296393, 52.2, 937.16, 12
1741498907.430336, 53.2, 991.43, 13
1741498908.430497, 54.2, 960.1, 13
1741498909.4287694, 55.2, 976.49, 13
1741498910.4304843, 56.2, 951.71, 12
1741498911.432108, 57.2, 950.27, 12
1741498912.4340374, 58.2, 947.0, 12
1741498913.4377909, 59.2, 886.18, 11
1741498914.4391377, 60.2, 865.08, 11
1741498915.4393797, 61.2, 858.52, 11
1741498916.441157, 62.2, 935.72, 12
1741498917.4436986, 63.2, 940.44, 12
1741498918.444318, 64.2, 943.72, 12
1741498919.4460747, 65.2, 1007.81, 13
1741498920.4505806, 66.2, 969.93, 13
1741498921.4510505, 67.2, 928.78, 13
1741498922.4532006, 68.2, 976.49, 12
1741498923.456239, 69.2, 948.44, 12
1741498924.4580452, 70.2, 933.89, 12
1741498925.4616144, 71.2, 902.96, 11
1741498926.4622986, 72.2, 861.8, 11
1741498927.4647944, 73.2, 874.91, 11
1741498928.4636548, 74.2, 943.72, 12
1741498929.4669964, 75.2, 947.0, 12
1741498930.4701579, 76.2, 940.44, 12
1741498931.468315, 77.2, 940.44, 12
1741498932.4694757, 78.2, 943.72, 12
1741498933.4746208, 79.2, 956.83, 12
1741498934.4738784, 80.2, 991.43, 13
1741498935.4756207, 81.2, 963.38, 13
1741498936.4770846, 82.2, 963.38, 13
1741498937.4797895, 83.2, 938.61, 12
1741498938.4810648, 84.2, 928.38, 12
1741498939.4804523, 85.2, 959.05, 12
1741498940.4838283, 86.2, 932.05, 11
1741498941.483377, 87.2, 861.8, 11
1741498942.4828923, 88.2, 865.08, 11
1741498943.4866133, 89.2, 912.79, 12
1741498944.4866738, 90.2, 950.27, 12
1741498945.4883034, 91.2, 943.72, 12
1741498946.4909387, 92.2, 943.72, 12
1741498947.4903555, 93.2, 943.72, 12
1741498948.4918032, 94.2, 947.0, 12
1741498949.4928908, 95.2, 912.39, 11
1741498950.4973643, 96.2, 878.18, 11
1741498951.4959419, 97.2, 868.35, 11
1741498952.5001523, 98.2, 896.4, 12
1741498953.5000725, 99.2, 947.0, 12
1741498954.5017138, 100.2, 940.05, 12
1741498955.503722, 101.2, 968.88, 13
1741498956.5056098, 102.2, 1012.53, 13
1741498957.51014, 103.2, 953.55, 13
1741498958.507718, 104.2, 966.66, 12
1741498959.5126023, 105.2, 937.16, 12
1741498960.509712, 106.2, 930.61, 12
1741498961.5117235, 107.2, 950.27, 12
1741498962.51314, 108.2, 953.55, 12
1741498963.5148327, 109.2, 940.44, 12
1741498964.5164566, 110.2, 935.33, 13
1741498965.5166192, 111.2, 1012.92, 13
1741498966.5191784, 112.3, 866.86, 13
1741498967.5194569, 113.3, 958.27, 12
1741498968.5219193, 114.3, 954.99, 12
1741498969.5224972, 115.3, 947.0, 12
1741498970.534693, 116.3, 948.44, 12
1741498971.5259492, 117.3, 873.07, 11
1741498972.5268583, 118.3, 876.74, 11
1741498973.5277426, 119.3, 865.08, 11
1741498974.5289168, 120.3, 935.72, 12
1741498975.5310602, 121.3, 953.55, 12
1741498976.5347989, 122.3, 933.89, 12
1741498977.5357983, 123.3, 943.72, 12
1741498978.534176, 124.3, 937.16, 12
1741498979.5381653, 125.3, 943.72, 12
1741498980.542163, 126.3, 876.35, 11
1741498981.5391617, 127.3, 868.35, 11
