1744149979.9976482, 1.0, 0.0, 1
1744149980.9928346, 2.0, 0.0, 1
1744149981.9939206, 3.0, 0.0, 1
1744149982.9955554, 4.0, 0.0, 1
1744149983.9968805, 5.0, 0.0, 2
1744149984.998438, 6.0, 838.86, 2
1744149985.9996903, 7.0, 0.0, 2
1744149987.000694, 8.0, 0.0, 4
1744149988.0018375, 9.0, 1677.72, 4
1744149989.00291, 10.0, 0.0, 4
1744149990.0040686, 11.0, 0.0, 6
1744149991.0049698, 12.0, 2516.58, 6
1744149992.0057137, 13.0, 838.86, 6
1744149993.0065825, 14.0, 0.0, 9
1744149994.0065687, 15.0, 838.86, 9
1744149995.007629, 16.0, 4194.3, 9
1744149996.007824, 17.0, 0.0, 10
1744149997.008831, 18.0, 838.86, 10
1744149998.0101182, 19.0, 4194.3, 10
1744149999.0113387, 20.0, 838.86, 9
1744150000.0122502, 21.0, 838.86, 9
1744150001.0134282, 22.0, 1677.72, 9
1744150002.014605, 23.0, 4194.3, 13
1744150003.0157375, 24.0, 503.32, 13
1744150004.0168278, 25.0, 2013.27, 13
1744150005.0198483, 26.0, 4194.3, 12
1744150006.0213327, 27.0, 838.86, 12
1744150007.0214477, 28.0, 2516.58, 12
1744150008.0220106, 29.0, 2516.58, 8
1744150009.0234578, 30.0, 3355.44, 8
1744150010.0263395, 31.0, 2516.58, 8
1744150011.0265017, 32.0, 2516.58, 6
1744150012.027781, 33.0, 3355.44, 6
1744150013.0277767, 34.0, 2516.58, 6
1744150014.0292041, 35.0, 2516.58, 5
1744150015.029954, 36.0, 2172.65, 5
1744150016.0310056, 37.0, 4538.24, 5
1744150017.032117, 38.0, 2516.58, 4
1744150018.0333035, 39.0, 2516.58, 4
1744150019.0341809, 40.0, 4739.56, 4
1744150020.0354192, 41.0, 2365.59, 3
1744150021.0368059, 42.0, 2122.32, 3
1744150022.0382984, 43.0, 3363.83, 3
1744150023.0394435, 44.0, 5024.78, 4
1744150024.0405223, 45.0, 2516.58, 4
1744150025.0417101, 46.0, 3355.44, 4
1744150026.0428014, 47.0, 1677.72, 5
1744150027.0436194, 48.0, 0.0, 5
1744150028.0450678, 49.0, 1677.72, 5
1744150029.0463967, 50.0, 5033.16, 1
1744150030.0474544, 51.0, 1677.72, 1
1744150031.0478652, 52.0, 1736.44, 1
1744150032.0486186, 53.0, 4806.67, 1
1744150033.0500746, 54.0, 3481.27, 1
1744150034.0510056, 55.1, 38.13, 1
1744150035.0523138, 56.1, 3162.51, 2
1744150036.0529943, 57.1, 4387.24, 2
1744150037.0530384, 58.1, 1677.72, 2
1744150038.054248, 59.1, 2516.58, 3
1744150039.0553257, 60.1, 5033.16, 3
1744150040.0557754, 61.1, 2516.58, 3
1744150041.0567768, 62.1, 1677.72, 3
1744150042.0576432, 63.1, 4043.31, 3
1744150043.0589128, 64.1, 4118.81, 3
1744150044.060065, 65.1, 2776.63, 4
1744150045.060611, 66.1, 2483.03, 4
1744150046.0610738, 67.1, 5033.16, 4
1744150047.0619807, 68.1, 4194.3, 3
1744150048.063592, 69.1, 1677.72, 3
1744150049.0646584, 70.1, 1677.72, 3
